race_date,race_place,race_id_of_day,race_id_of_season,horse_class,race_distance,race_name,race_price,going,course,horse_1_place,horse_1_name,horse_1_id,horse_1_jockey,horse_1_trainer,horse_1_act_wt,horse_1_dec_wt,horse_1_dr,horse_1_lbw,horse_1_pos,horse_1_time,horse_1_odds,horse_2_place,horse_2_name,horse_2_id,horse_2_jockey,horse_2_trainer,horse_2_act_wt,horse_2_dec_wt,horse_2_dr,horse_2_lbw,horse_2_pos,horse_2_time,horse_2_odds,horse_3_place,horse_3_name,horse_3_id,horse_3_jockey,horse_3_trainer,horse_3_act_wt,horse_3_dec_wt,horse_3_dr,horse_3_lbw,horse_3_pos,horse_3_time,horse_3_odds,horse_4_place,horse_4_name,horse_4_id,horse_4_jockey,horse_4_trainer,horse_4_act_wt,horse_4_dec_wt,horse_4_dr,horse_4_lbw,horse_4_pos,horse_4_time,horse_4_odds,horse_5_place,horse_5_name,horse_5_id,horse_5_jockey,horse_5_trainer,horse_5_act_wt,horse_5_dec_wt,horse_5_dr,horse_5_lbw,horse_5_pos,horse_5_time,horse_5_odds,horse_6_place,horse_6_name,horse_6_id,horse_6_jockey,horse_6_trainer,horse_6_act_wt,horse_6_dec_wt,horse_6_dr,horse_6_lbw,horse_6_pos,horse_6_time,horse_6_odds,horse_7_place,horse_7_name,horse_7_id,horse_7_jockey,horse_7_trainer,horse_7_act_wt,horse_7_dec_wt,horse_7_dr,horse_7_lbw,horse_7_pos,horse_7_time,horse_7_odds,horse_8_place,horse_8_name,horse_8_id,horse_8_jockey,horse_8_trainer,horse_8_act_wt,horse_8_dec_wt,horse_8_dr,horse_8_lbw,horse_8_pos,horse_8_time,horse_8_odds,horse_9_place,horse_9_name,horse_9_id,horse_9_jockey,horse_9_trainer,horse_9_act_wt,horse_9_dec_wt,horse_9_dr,horse_9_lbw,horse_9_pos,horse_9_time,horse_9_odds,horse_10_place,horse_10_name,horse_10_id,horse_10_jockey,horse_10_trainer,horse_10_act_wt,horse_10_dec_wt,horse_10_dr,horse_10_lbw,horse_10_pos,horse_10_time,horse_10_odds,horse_11_place,horse_11_name,horse_11_id,horse_11_jockey,horse_11_trainer,horse_11_act_wt,horse_11_dec_wt,horse_11_dr,horse_11_lbw,horse_11_pos,horse_11_time,horse_11_odds,horse_12_place,horse_12_name,horse_12_id,horse_12_jockey,horse_12_trainer,horse_12_act_wt,horse_12_dec_wt,horse_12_dr,horse_12_lbw,horse_12_pos,horse_12_time,horse_12_odds,horse_13_place,horse_13_name,horse_13_id,horse_13_jockey,horse_13_trainer,horse_13_act_wt,horse_13_dec_wt,horse_13_dr,horse_13_lbw,horse_13_pos,horse_13_time,horse_13_odds,horse_14_place,horse_14_name,horse_14_id,horse_14_jockey,horse_14_trainer,horse_14_act_wt,horse_14_dec_wt,horse_14_dr,horse_14_lbw,horse_14_pos,horse_14_time,horse_14_odds,horse_15_place,horse_15_name,horse_15_id,horse_15_jockey,horse_15_trainer,horse_15_act_wt,horse_15_dec_wt,horse_15_dr,horse_15_lbw,horse_15_pos,horse_15_time,horse_15_odds,horse_16_place,horse_16_name,horse_16_id,horse_16_jockey,horse_16_trainer,horse_16_act_wt,horse_16_dec_wt,horse_16_dr,horse_16_lbw,horse_16_pos,horse_16_time,horse_16_odds,horse_17_place,horse_17_name,horse_17_id,horse_17_jockey,horse_17_trainer,horse_17_act_wt,horse_17_dec_wt,horse_17_dr,horse_17_lbw,horse_17_pos,horse_17_time,horse_17_odds,horse_18_place,horse_18_name,horse_18_id,horse_18_jockey,horse_18_trainer,horse_18_act_wt,horse_18_dec_wt,horse_18_dr,horse_18_lbw,horse_18_pos,horse_18_time,horse_18_odds,horse_19_place,horse_19_name,horse_19_id,horse_19_jockey,horse_19_trainer,horse_19_act_wt,horse_19_dec_wt,horse_19_dr,horse_19_lbw,horse_19_pos,horse_19_time,horse_19_odds,horse_20_place,horse_20_name,horse_20_id,horse_20_jockey,horse_20_trainer,horse_20_act_wt,horse_20_dec_wt,horse_20_dr,horse_20_lbw,horse_20_pos,horse_20_time,horse_20_odds
19790922,HV,1,1,Class 4,1235,REPULSE BAY HANDICAP (SECTION 1),"HK$ 64,000",YIELDING,GRASS,11,EXCELLAND,AM057,D Brosnan,T L Lee,135,---,4,17 1/4,,1:20.60,10,2,MONEY FIRST,AG022,L Fox,M K Tam,135,---,3,6,,1:18.50,16,8,PRINCE LUCKY,F013,C C Chan,P M Chu,133,---,1,15 1/4,,1:20.10,47,1,VICTORIOUS II,AK071,G W Moore,G Moore,131,---,2,0,,1:17.40,3.4,5,NEW GEM,AM239,G Hall,P C Kan,130,---,5,10 1/4,,1:19.30,27,6,CHEERFUL WIN,AM186,C K Chow,C L Ng,123,---,12,11,,1:19.50,20,4,RED ROCKER,AM199,B Andrews,A Ward,126,---,7,8 3/4,,1:19.10,27,12,SHINING GLORY,AM028,T O Lau,A Chan,124,---,11,19 3/4,,1:21.00,8.6,10,FIRST PRIZE,AM171,M C Tam,K H Au,118,---,10,16 3/4,,1:20.50,55,7,HARBOUR CROSSING,AM010,W Hartack,G Smyth,123,---,9,12 3/4,,1:19.70,5.9,9,SHADOWFAX,AG021,Y C Chan,C Robertson,116,---,6,15 1/4,,1:20.20,99,3,STAR TROUPER,Z058,K W Lui,T C Cheng,117,---,8,8,,1:18.90,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19790922,HV,2,2,Class 3,1235,BIG WAVE BAY HANDICAP (SECTION 2),"HK$ 67,000",YIELDING,GRASS,2,GOTEBORG,Z038,G W Moore,G Moore,135,---,8,3,,1:17.60,5.8,6,WELSH VILLAIN,Z128,F S Cheung,G Sofronoff,128,---,3,6 3/4,,1:18.20,15,4,RAPID FELLOW,AM197,B Andrews,A Ward,134,---,4,4 1/4 /SH,,1:17.80,9.4,,TITUS,AL156,---,C Robertson,---,---,---,---,,---,---,9,FOREVER VICTORY,AL101,J Roe,F Carr,131,---,10,13,,1:19.50,64,7,SOLONO,AL147,D Brosnan,T L Lee,130,---,9,10 3/4,,1:18.90,15,1,FADO,AM192,C C Nam,C L Ng,122,---,7,0,,1:17.20,4.8,3,ROCKFORD,Z064,T O Lau,A Chan,129,---,2,3/SH,,1:17.60,5.9,10,POT OF GOLD,AM237,H M Lee,M K Tam,127,---,12,19 1/4,,1:20.60,13,8,TOUCH OF LUCK,AM067,P Leyshan,K H Au,127,---,5,10 3/4,,1:19.00,17,11,GOLDEN TOUCH,AK036,C C Chan,P M Chu,126,---,6,19 3/4,,1:20.70,99,5,SUNNY DAY,AM193,K C Lo,T C Cheng,123,---,1,6,,1:18.10,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19790922,HV,3,3,Class 3,1235,BIG WAVE BAY HANDICAP (SECTION 1),"HK$ 67,000",YIELDING,GRASS,7,ROYAL AUTHORITY,AL141,G W Moore,G Moore,135,---,8,5,,1:19.20,9,2,WILDFIRE,Z070,W Hood,E Collingwood,135,---,1,NK,,1:18.40,21,1,ARION,AL164,S Morris,J H Brown,128,---,5,0,,1:18.30,10,9,BRIGADE SAM,AN094,D Brosnan,S T Wong,133,---,6,12,,1:20.50,26,8,WHITSUN,AL117,K C Lo,N Metervelli,133,---,11,11 3/4,,1:20.40,10,6,WINNING PHILIPPE,AL112,B Andrews,A Ward,132,---,2,5,,1:19.20,18,11,IMPERIAL IMAGE,AM163,R Wernham,G Smyth,131,---,4,19 3/4,,1:21.80,3.2,3,LITTLE BIG MAN,AL173,Y S Wong,A Chan,124,---,9,N/ 1/2,,1:18.50,5.1,10,PROFESSIONAL,Z045,C C Chan,P M Chu,130,---,12,12 3/4,,1:20.60,99,4,BERNCASTLER,AM234,P Miers,R Burns,125,---,3,2 3/4,,1:18.80,6.3,5,STEELMASTER,AL104,K W Lui,G Sofronoff,121,---,10,3 1/4,,1:18.90,11,12,MEHBOOB,AM082,J Roe,F Carr,121,---,7,30 1/2,,1:24.00,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19790922,HV,4,4,Class 1,975,TYTAM BAY HANDICAP,"HK$ 77,000",YIELDING,GRASS,,EVER WIN,AL092,B Andrews,A Ward,137,---,7,---,,---,9.4,7,GREAT SUCCESS,AM167,K W Lui,G Sofronoff,129,---,10,14 1/2,,1:00.60,70,9,BOLD LAD,AM168,D Brosnan,S T Wong,127,---,3,16,,1:00.80,2.9,8,DOUBLE V,AK012,W Hood,T L Lee,126,---,9,14 1/2,,1:00.60,20,3,SCARLET CAMELLIA,AL166,C K Chow,C L Ng,120,---,2,8 1/2,,0:59.60,8.2,4,GO-GETTER,AM165,K L Man,A Chan,114,---,8,10,,0:59.90,99,11,POPS JOY,AK029,K C Lo,R Burns,118,---,6,22 1/2,,1:01.80,79,1,VILLA D'ESTE,AM216,G W Moore,G Moore,118,---,5,0,,0:58.40,2.2,10,BIG CHIEF,AM206,P Miers,R Burns,117,---,11,18 1/2,,1:01.20,99,5,DIG LOW,AL177,P F Yiu,A Chan,118,---,4,12 3/4,,1:00.30,99,6,GAVROCHE,AL163,P Leyshan,C Robertson,116,---,1,13 1/2,,1:00.40,17,2,MABUHAY,AK004,C H Cheong,G Moore,109,---,12,1/2,,0:58.50,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19790922,HV,5,5,Class 3,1650,THE KWANGTUNG HANDICAP CUP,"HK$ 67,000",YIELDING,GRASS,7,GAY WARRIOR,Z027,D Brosnan,G Sofronoff,133,---,12,11 1/4,,1:46.90,6.2,1,WORLD RECORD,AL142,M C Tam,K H Au,128,---,7,0,,1:45.00,8.4,4,LUCK FOR ALL,AK129,T O Lau,A Chan,131,---,10,5 1/2,,1:46.00,12,9,PLEASING,AM215,R Staples,H M Cheung,131,---,9,13 1/4,,1:47.30,25,11,SOUND WAY,AL033,P Leyshan,P M Chu,131,---,1,14 1/4,,1:47.50,3.5,10,BLACK DISTRICT,Z113,K L Tsui,N Metervelli,123,---,3,13 1/4,,1:47.30,12,12,FOREVER GLORY,Z068,G Hall,G Moore,129,---,11,14 1/4,,1:47.50,99,5,FOLLOW ME,AK109,P H Chan,C L Ng,120,---,2,7,,1:46.30,19,2,RIGHT TIME,AL039,S Morris,A Ward,121,---,8,H,,1:45.10,6.7,6,BIG SALOON,AL064,K S Ho,A Chan,124,---,6,9,,1:46.60,29,3,NUCLEAR SUPREME,AM185,G W Moore,G Moore,124,---,4,H/5,,1:45.90,17,8,MAJESTIC,AK006,W Hood,E Collingwood,123,---,5,11 3/4,,1:47.00,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19790922,HV,6,6,Class 4,1650,SANDY BAY HANDICAP (SECTION 1),"HK$ 64,000",YIELDING,GRASS,1,PETE'S EARNINGS,AL080,G W Moore,G Moore,133,---,2,0,,1:46.10,2.4,2,TWILIGHT,AL061,L Fox,R Burns,133,---,1,2,,1:46.40,23,3,JAGOLARI,AM071,S Morris,F Carr,127,---,5,3 1/2,,1:46.60,4.2,4,MOUNT FUJI,AM038,W Hartack,P C Kan,132,---,10,3 1/2,,1:46.70,4.3,8,SUMMER STORY,AL130,K L Tsui,N Metervelli,124,---,11,10 1/2,,1:47.80,31,11,KEEP IT UP,AL099,T M Cheung,S T Wong,121,---,8,20 1/2,,1:49.50,99,9,UNITED STAR,AK092,T O Lau,A Chan,128,---,7,11,,1:48.00,45,10,MORNING GLORY,AM063,D Brosnan,T L Lee,125,---,9,11 1/2,,1:48.10,99,5,PEGASUS II,AM132,T P Yung,M K Tam,118,---,6,8 1/2,,1:47.50,8.5,7,LUCKY FORTUNE,AL040,W T Leung,T C Cheng,124,---,3,10,,1:47.70,19,6,TSAREVITCH,AK043,P Leyshan,G Sofronoff,124,---,4,8 1/2,,1:47.50,16,,ALL HAPPY,AL097,---,K H Au,---,---,---,---,,---,---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19790922,HV,7,7,Class 3,1650,PENNY'S BAY HANDICAP,"HK$ 67,000",YIELDING,GRASS,6,GOLDEN RULE,AN093,C K Chow,C L Ng,130,---,10,10 1/4,,1:47.80,35,4,AMBER STAR,AL071,D Brosnan,G Sofronoff,134,---,4,7 1/2,,1:47.30,4.7,10,RUSTIC RIVER,Z124,Y Y Choy,P M Chu,126,---,9,14,,1:48.50,5.8,8,GAY PEGASUS,AK089,K C Lo,T C Cheng,131,---,5,13 1/2,,1:48.40,3.7,5,MARK IT UP,AK069,J Tandari,A Chan,130,---,11,8 1/2,,1:47.50,71,7,HAZEL TREE,AL089,K W Lui,G Sofronoff,125,---,12,10 1/4,,1:47.80,5,11,MAN OF HONOUR,AL162,G W Moore,G Moore,127,---,7,20,,1:49.50,47,2,COME ON,AK137,W Hood,E Collingwood,126,---,8,5,,1:46.80,18,12,CLOUD YELLOW,Z114,K L Tsui,N Metervelli,115,---,1,23,,1:50.10,90,1,HOP YICK,AK102,P Leyshan,J H Brown,122,---,6,0,,1:46.10,18,3,MALAYAN TREASURE,AK080,K S Ho,A Chan,122,---,2,5/N,,1:46.90,52,9,NELSPET,AM108,T O Lau,A Chan,120,---,3,14,,1:48.40,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19790922,HV,8,8,Class 4,1650,SANDY BAY HANDICAP (SECTION 2),"HK$ 64,000",YIELDING,GRASS,8,QUEEN'S MESSENGER,Z125,R Staples,H M Cheung,134,---,4,13 1/4,,1:49.10,67,7,GRAND CHOICE,AL076,K S Ho,A Chan,130,---,5,10 3/4,,1:48.70,4.1,12,LAGUARDIA,Z100,K W Lui,G Sofronoff,127,---,9,18,,1:50.00,28,5,JADE UNICORN,AK048,Y Y Choy,P C Kan,121,---,11,6 1/2,,1:48.00,21,10,STAR OF SOUTH CHIN,AM141,D Brosnan,J H Brown,127,---,10,14 3/4,,1:49.40,2.4,4,TAI-PAN,Z073,H M Lee,M K Tam,127,---,12,6 1/2,,1:48.00,32,9,MASTER AUCHENDOLLY,AL008,W Hartack,N Metervelli,126,---,8,14,,1:49.30,12,1,BEST OF LUCK,F023,K L Man,K H Au,120,---,7,0,,1:46.90,16,11,DRAGON WORLD,AM058,J Tandari,A Chan,125,---,6,15,,1:49.50,42,6,MARS PIONEER,AK052,Y P Chan,T C Cheng,119,---,2,9,,1:48.50,24,3,GRAND HOPE,AM100,W Hood,T L Lee,121,---,3,SH/5,,1:47.70,6.7,2,SO QUICK,AM116,P Leyshan,P M Chu,120,---,1,SH,,1:46.90,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19790922,HV,9,9,Class 3,1235,BIG WAVE BAY HANDICAP (SECTION 3),"HK$ 67,000",YIELDING,GRASS,2,ST. TROPEZ,AL019,R Setches,C Robertson,135,---,2,3,,1:17.90,9.5,12,FISHY TALE,Z120,T P Yung,M K Tam,127,---,4,15,,1:20.10,19,9,ALFASO,AM183,G Hall,B Hutchison,133,---,12,9 3/4,,1:19.20,11,5,ARC DE TRIOMPHE,AL042,R Wernham,G Smyth,133,---,6,5 3/4,,1:18.40,5.8,3,BALLY NATIVE,Z123,P Miers,R Burns,131,---,5,3 1/2,,1:18.00,14,10,BOBALONG,AM210,P Leyshan,G Sofronoff,131,---,11,12 1/4,,1:19.60,4.9,8,CHATER ROAD,AK130,W Hood,E Collingwood,139,---,1,9 1/4,,1:19.10,14,6,LUCKY CALL,AM195,C C Nam,C L Ng,123,---,10,7,,1:18.70,51,11,FURY,AM142,S Morris,A Ward,123,---,7,12 1/2,,1:19.70,9.1,1,TIDAL WAVE,AL170,G W Moore,G Moore,127,---,9,0,,1:17.40,3.5,7,EXCELSUS,AL182,D Brosnan,T L Lee,126,---,3,7,,1:18.70,65,4,YAU TAK,AM229,M C Tam,K H Au,120,---,8,4 1/4,,1:18.20,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19790929,HV,1,10,Class 2,975,JUNK BAY HANDICAP (SECTION 2),"HK$ 70,000",YIELDING,GRASS,3,SHENANDOAH,AM214,W Burnett,P Supple,137,---,5,7,,0:59.90,4.8,2,MANTIS GREEN,AM173,G W Moore,G Moore,132,---,8,3,,0:59.30,4.5,6,SILVER IMAGE,AN097,K L Man,G Moore,126,---,4,11 1/2,,1:00.60,76,7,IMPRINT,Z082,P Leyshan,G Sofronoff,129,---,7,13,,1:00.90,23,1,LANTAU,AN106,D Brosnan,S T Wong,127,---,2,0,,0:59.00,5.6,4,VILLAGE BARD,AL106,R Staples,H M Cheung,126,---,1,7,,0:59.90,52,5,BEAUTIFUL KID,AL159,R Setches,P C Kan,124,---,6,7 3/4,,1:00.10,10,8,CONQUEROR,AM129,J Tandari,A Chan,124,---,3,15,,1:01.20,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
